claim_id,section,bucket,claim,source,verification,note,support_type,public_status,display_rank,headline_rank,subgroup,source_tier,public_claim,review_note,date_sensitive,last_reviewed
OV-01,OVERVIEW,Climate-reframed,133 Gt C global soil carbon lost,"Sanderman et al., 2017, PNAS",DOI: 10.1073/pnas.1706103114,Approved primary-source claim synchronized to the overview and Carbon Debt sections.,direct,approved,1,1,,primary,133 Gt C global soil carbon lost,Primary-source claim cleared for public review.,no,2026-04-02
OV-02,OVERVIEW,Climate-reframed,$500M+/yr annual input losses (US corn fertilizer costs),"Jing et al., 2020, Earth’s Future",DOI: 10.1029/2019EF001432,Existing site claim carried forward into the revised register.,direct,approved,2,2,,primary,$500M+/yr annual input losses (US corn fertilizer costs),Primary-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
OV-03,OVERVIEW,Climate-reframed,71% of aquifers are declining,"Jasechko & Perrone, 2024, Nature",DOI: 10.1038/s41586-024-07320-8,Existing site claim carried forward into the revised register.,direct,approved,3,3,,primary,71% of aquifers are declining,Primary-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
OV-04,OVERVIEW,Climate-reframed,$320B climate disaster losses (2024),Munich Re 2024 Annual Report,munichre.com,Existing site claim carried forward into the revised register.,direct,approved,4,,,institutional,$320B climate disaster losses (2024),Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
OV-05,OVERVIEW,Climate-reframed,0.30–1.00 Mg C/ha/yr annual soil carbon gain across the featured regenerative practices,Derived from approved rows C4-01 through C4-05,See Rebuilding Carbon rows in this register,Derived overview range using only the regenerative practices featured on the site.,derived,approved,5,,,derived,0.30–1.00 Mg C/ha/yr annual soil carbon gain across the featured regenerative practices,Derived reviewer claim with explicit math anchored to the cited source values.,no,2026-04-02
OV-06,OVERVIEW,Climate-reframed,+78% higher profits on regen farms,"LaCanne & Lundgren, 2018, PeerJ",DOI: 10.7717/peerj.4428,Existing site claim carried forward into the revised register.,direct,approved,6,,,primary,+78% higher profits on regen farms,Primary-source claim cleared for public review.,no,2026-04-02
OV-07,OVERVIEW,Climate-reframed,+35% water infiltration from cover crops,"Basche & DeLonge, 2019, PLOS ONE",DOI: 10.1371/journal.pone.0215702,Existing site claim carried forward into the revised register.,direct,approved,7,,,primary,+35% water infiltration from cover crops,Primary-source claim cleared for public review.,no,2026-04-02
OV-08,OVERVIEW,Climate-reframed,13.12 Gt CO2e/yr moved by mycorrhizal fungi,"Hawkins et al., 2023, Current Biology",DOI: 10.1016/j.cub.2023.02.027,Existing site claim carried forward into the revised register.,direct,approved,8,,,primary,13.12 Gt CO2e/yr moved by mycorrhizal fungi,Primary-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
OV-09,OVERVIEW,Climate-reframed,McKinsey: $250B incremental value over a decade (80% adoption),McKinsey 2024,McKinsey regenerative agriculture value analysis,Approved public claim replacing the earlier generic investment-gap placeholder.,direct,approved,9,,,institutional,McKinsey: $250B incremental value over a decade (80% adoption),Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
OV-10,OVERVIEW,Climate-reframed,BCG: 130% long-term ROI on regen transitions,BCG 2023,BCG long-term ROI analysis,Approved public claim replacing the earlier under-sourced funding-share shorthand.,direct,approved,10,,,institutional,BCG: 130% long-term ROI on regen transitions,Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
OV-11,OVERVIEW,Climate-reframed,USDA: $2.8B committed to Partnerships for Climate-Smart Commodities,"USDA Partnerships for Climate-Smart Commodities, 2023–2024",USDA program summary and award announcements,Approved public claim replacing the removed carbon-market-growth placeholder.,direct,approved,11,,,institutional,USDA: $2.8B committed to Partnerships for Climate-Smart Commodities,Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
OV-12,OVERVIEW,Climate-reframed,34 years for definitive carbon data (Rodale),Rodale Institute FST (1981–2015),rodaleinstitute.org,Existing site claim carried forward into the revised register.,direct,approved,12,,,institutional,34 years for definitive carbon data (Rodale),Institutional-source claim cleared for public review.,no,2026-04-02
OV-13,OVERVIEW,Climate-reframed,"6,000 years for Ogallala to recharge",USGS 2024 Groundwater Reports,USGS Ogallala data,Existing site claim carried forward into the revised register.,direct,approved,13,,,institutional,"6,000 years for Ogallala to recharge",Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
OV-14,OVERVIEW,Climate-reframed,50+ years tillage damage on virgin soil (MSU),Michigan State University Extension,MSU Extension research,Existing site claim carried forward into the revised register.,direct,approved,14,,,institutional,50+ years tillage damage on virgin soil (MSU),Institutional-source claim cleared for public review.,no,2026-04-02
C1-01,Carbon Pools,Unchanged,"~2,500 Gt C in global soils (0–2 m)","Global soil carbon stock estimates; cross-ref IPCC and Sanderman et al., 2017",Cross-ref global soil carbon stock estimates used in the site carbon-pool visual,Approved stock estimate retained at rounded precision to match the site.,direct,approved,1,1,,institutional,"~2,500 Gt C in global soils (0–2 m)",Institutional-source claim cleared for public review.,no,2026-04-02
C1-02,Carbon Pools,Unchanged,~2.8x more carbon in soil than atmosphere,"Calculated: 2,500 / 900 Gt C","Soils 2,500 vs Atmosphere 900",Derived / calculated claim. Keep the source numbers and the math visible together.,derived,approved,2,2,,derived,~2.8x more carbon in soil than atmosphere,Derived reviewer claim with explicit math anchored to the cited source values.,no,2026-04-02
C1-03,Carbon Pools,Unchanged,Every 1% SOM increase sequesters ~8.9 Gt CO2 globally,Derived from USDA-NRCS + global soil area,Calculation based on global cultivated area,Derived / calculated claim. Keep the source numbers and the math visible together.,derived,approved,3,3,,derived,Every 1% SOM increase sequesters ~8.9 Gt CO2 globally,Derived reviewer claim with explicit math anchored to the cited source values.,no,2026-04-02
C1-04,Carbon Pools,Unchanged,75% of terrestrial carbon stored underground,Global carbon pool analysis,"Derived from 2,500 / (2,500 + 560) Gt C",Derived / calculated claim. Keep the source numbers and the math visible together.,derived,approved,4,,,derived,75% of terrestrial carbon stored underground,Derived reviewer claim with explicit math anchored to the cited source values.,no,2026-04-02
C1-05,Carbon Pools,Unchanged,"10,000+ microbial species per teaspoon",Soil microbiology consensus,LLNL; standard reference,Removed from public-facing materials during synchronization because the species-richness shorthand was broader than the approved evidence base.,direct,remove,5,,,institutional,"10,000+ microbial species per teaspoon",Institutional-source claim cleared for public review.,no,2026-04-02
C1-06,Carbon Pools,Unchanged,"Oceans: 38,400 Gt C (90.6%)",Global carbon cycle estimates,IPCC; off-scale reference,Existing site claim carried forward into the revised register.,direct,approved,6,,,institutional,"Oceans: 38,400 Gt C (90.6%)",Institutional-source claim cleared for public review.,no,2026-04-02
